N°Obs,1. Quel est votre ministère d'appartenance ?,2. Quelle est votre fonction ?,3. Précisez votre fonction,"4. Quel est le nom de votre direction, sous-direction ou service",5. Quelle est votre région (pour les administrations territorial,6. A1. Considérez-vous avoir eu rapidement les moyens de mobilis,7. A1a. Pour quelles raisons ?,8. A2. Dans quel délai avez-vous eu connaissance des moyens numé,9. A3. Comment notez-vous l'efficacité de vos moyens de télétrav,10. A4. Quelles initiatives complémentaires avez-vous prises pou,11. Messagerie du ministère,12. Messagerie autre (ex: gmail),13. Messagerie instantanée interministérielle (Tchap),14. Messagerie instantanée autre (ex: WhatsApp),15. Visio-conférence du ministère,16. Viso-conférence interministériel (WebConf),17. Visio-conférence autre (ex: Skype),18. Outils collaboratifs du ministère,"19. Outils collaboratifs interministériels (OSMOSE, PLANO, RESAN",20. Outils collaboratifs autres,21. Audio-conférence téléphonique,22. B2. Avez-vous eu recours à des ressources ou compétences add,"23. B2a. Si oui, lesquelles et comment les avez-vous activées ?",24. B3. A quelles principales difficultés avez-vous fait face po,25. C1. Considérez-vous que votre direction disposait d'une cult,26. C2. Quels moyens de communication internes avez-vous mis en,"27. C2a. Si ""autre"", lesquelles ?","28. C3. Avez-vous détecté des agents mis en difficulté, y compri",29. C3a. Que pouvez-vous en dire ?,30. C4. Entendez-vous conserver au-delà de la crise des pratique,"31. C4a. Si oui, lesquelles ?",32. C5. Que souhaitez-vous ajouter sur les impacts du numérique,33. Clé,34. Date de saisie,35. Date de dernière modification,36. Date de dernier enregistrement,37. Temps de saisie,38. Langue,39. Progression,40. Origine,41. Appareil utilisé pour la saisie
711,Agriculture et Alimentation,Autre,Directeur de projet,SG,Île-de-France,Oui,,La 2ème semaine,4,,Très utile,Non utilisé,Utile,Utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Très utile,Non,,Impressions,Non,Web ou audio conférences,,Oui,,Je ne sais pas encore,,,RS6C-UYP3,14/05/2020 18:22:38,,14/05/2020 18:27:29,291.3031845,FR,Terminé,Direct,PC
712,Agriculture et Alimentation,Sous-directeur.trice (centrale),,DGPE/SGPAC,,Oui,,Dès la 1ère semaine,4,"Installation de la messagerie TCHAP demandée à tous les agents de la sous-direction et création de salons de discussions en interne de la sous-direction.
Utilisation massive de l'audioconférence, en utilisant simplement la possibilité d'ajouter des correspondants à partir de notre téléphone mobile.
Aucune utilisation de vidéoconférence, trop difficile à mettre en oeuvre et nécessitant un réseau internet performant que les agents n'ont pas forcément à leur domicile (surtout si en simultané, le conjoint est en vidéoconférence avec son travail et les enfants sont en vidéoconférence avec leur école/collège/lycée.)
Le VPN permet de travailler directement sur les documents sur le serveur du ministère, c'est très pratique.",Utile,Non utilisé,Très utile,Non utilisé,Non utilisé,Non utilisé,Pas utile,Non utilisé,Non utilisé,Non utilisé,Très utile,Oui,compétences acquises sur le tas pour arriver à s'y retrouver dans la jungle des possibilités d'audioconférence,Perte de temps pour monter des réunions visio qui finalement ne marchaient pas.,Oui mais insuffisamment,Web ou audio conférences,,Pas encore,,Oui,"Tchap, c'est super !","Le travail à distance contribue à engorger encore plus les boîtes mail qu'elles ne l'étaient déjà. Il faut travailler sur l'usage du mail, et favoriser une pratique où la messagerie instantanée est le lieu des messages ""ping-pong"" (""du tac au tac""), et où le mail correspond lui à une communication plus mesurée.",PWRC-Z9XA,14/05/2020 18:04:13,,14/05/2020 18:34:56,1842.6060861,FR,Terminé,Direct,PC
713,Agriculture et Alimentation,Chef.fe de service (territoriale),,DRAAF,Hauts-de-France,Oui,,Dès la 1ère semaine,5,,Très utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Très utile,Non utilisé,Non utilisé,Non utilisé,Très utile,Non,,"Fluidité insuffisante des accès au serveur de la DRAAF et aux outils INTERNET.
Pour certains agents difficultés liées également à leur connexion INETRNET personnelle.",Oui,Courriels / Lettre d'information;Enquête en ligne;Web ou audio conférences,,Oui,,Oui,"Développement du télétravail
Signature électronique des courriers
Réunion d'équipe (bi-site) via visio",,DJMA-VA6A,14/05/2020 18:55:57,,14/05/2020 19:01:04,307.79207,FR,Terminé,Direct,PC
714,Agriculture et Alimentation,Autre,adjoint sous-directeur en centrale,DPMA/SDRH,,Oui,,La 2ème semaine,5,Procédure à distance de remontée d'informations et de validation de téle-parapheurs,Très utile,Non utilisé,Non utilisé,Pas utile,Non utilisé,Non utilisé,Très utile,Utile,Non utilisé,Non utilisé,Très utile,Non,,tyrannie encore renforcée du courrielleur,Oui mais insuffisamment,Courriels / Lettre d'information;Web ou audio conférences,,Non,,Oui,"moins de conférences physiques, gain de temps et d'argent",suppression à terme de la catégorie C,2H9M-8SXL,14/05/2020 19:05:18,,14/05/2020 19:10:59,340.8452297,FR,Terminé,Direct,PC
715,Agriculture et Alimentation,Sous-directeur.trice (centrale),,DGAL,,Non,"aucune information sur les dispositifs de visioconférence et audioconférence sécurisées utilisables par la communauté de travail : les dispositifs présentés ne fonctionnaient pas sur le réseau professionnel (web conf..)
Aucun assistance sur le sujet
de même les outils de dialogue installés (type whatsapp) n'étaient pas utilisables. Idem pour Skype. gros décalage entre ce qui était possible au sein du ministère et ce qui était fait dans des structures privées",La 2ème semaine,1,,Très utile,Non utilisé,Très utile,Non utilisé,Inconnu,Non utilisé,Non utilisé,Inconnu,Inconnu,Inconnu,Très utile,Non,,"les outils classiques de messagerie instantanés ou visioconférence ainsi que l’absence d'un dispsoitif de validation electronique des parapheurs constituent des entraves à un fonctionnement efficaces de notre administration en télétravail.
Aucune solution à court terme n'a été présenté. 
Pour pallier ces difficultés et cette absence de solution par le Ministère  l'usage d'outils de communication personnels entre agents a été rendu nécessaire!",Oui mais insuffisamment,Courriels / Lettre d'information;Enquête en ligne;Web ou audio conférences,,Pas encore,,Je ne sais pas encore,,"en conclusion : grosse démotivation des agents devant l'absence de proposition d'outils de visioconférence fiables sécurisés simples et opérationnels  pour organiser des réunions en interne ou avec des partenaires extérieurs
De même l'absence de la mise en place de parapheurs électroniques (avec validation par voie électronique) renforce l'inadéquation de nos moyens dans un cadre de télétravail.
Enfin incapacité d'organisation du rapatriements d'ordinateurs portables pour les agents qui n'en disposaient pas et qui étaient confinés chez eux
Des solutions immédiates doivent être trouvées pour améliorer les conditions de télétravail de tous les agents",J2KP-TCYB,14/05/2020 19:10:25,,14/05/2020 19:32:35,1330.3399155,FR,Terminé,Direct,PC
716,Agriculture et Alimentation,Chef.fe de service (territoriale),,DAAF,Guadeloupe,Oui,,Dès la 1ère semaine,3,,Très utile,Non utilisé,Non utilisé,Très utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Utile,Non,,Difficulté de connexion à cause des coupures internet et des mauvais débit en outre-mer.,Non,Réseau social,,Oui,"Certains agents en zone blanche ou non habitués aux outils ont eu un sentiment de discrimination
La grande quantité de courriels a contribué à un sentiment de submersion. 
La surinformation relative au covid a généré de la peur et de l'anxiété.",Non,,"Certains agents en zone blanche ou non habitués aux outils ont eu un sentiment de discrimination
La grande quantité de courriels a contribué à un sentiment de submersion. 
La surinformation relative au covid a généré de la peur et de l'anxiété.

Le télétravail a perturbé l'équilibre des équipes qui ont l'habitude d'un relationnel fort.
Les compétences en management à distance doivent aussi être renforcées. 
La surcharge de travail liée à la crise n'était pas compatible avec un management à distance plus chronophage.

L'ergonomie des postes de travail à domicile suscite beaucoup de retours négatifs: chaise non réglable en hauteur, travail sur un seul écran, utilisation de portable, pas de lieu propice pour s'installer à la maison.",RZUY-GNZ2,14/05/2020 20:01:01,,14/05/2020 20:11:09,608.0535347,FR,Terminé,Direct,PC
717,Agriculture et Alimentation,Sous-directeur.trice (territoriale),,direction alimentation agriculture et forêt,Martinique,Oui,,La 2ème semaine,3,"Déplacement du poste fixe de certains agents pour utilisation à la maison, à défaut de portable en nombre suffisant.
Achat et cryptage de clef à défaut d'accès au serveur.
Organisation réunions audio d'abord avec fusion appels Orange puis au travers OVH.",Très utile,Non utilisé,Non utilisé,Très utile,Utile,Pas utile,Non utilisé,Inconnu,Non utilisé,Utile,Très utile,Non,,"Disponibilité portables.
Accès serveur partagé.",Non,Courriels / Lettre d'information,,Pas encore,,Oui,Formaliser le télétravail.,"Trop de numérique nuit considérablement à la communication et au collectif.
Toutefois cette crise a permis de relancer des chantiers qui étaient au point mort et de développer certaines pratiques jusqu'alors peu utilisées, en particulier l'audioconférence.",S3N5-57J7,14/05/2020 20:30:12,,14/05/2020 20:45:24,911.9856283,FR,Terminé,Direct,PC
718,Agriculture et Alimentation,Autre,HFDS,SHFDS,,Oui,,La 2ème semaine,3,Tout le personnel est équipé d'ordinateur portable avec VPN,Très utile,Pas utile,Utile,Non utilisé,Utile,Non utilisé,Non utilisé,Non utilisé,Inconnu,Inconnu,Très utile,Non,,"outil collaboratif , Visioconférence",Oui mais insuffisamment,Courriels / Lettre d'information;Web ou audio conférences,,Non,,Oui,"Audioconférence , Visioconférence, Outil collaboratif","Certains outils interministériels n'ont pas été dimensionnés donc ne fonctionnaient pas comme le Webconf.
Il faut de vrais outils souverains pour notre administration française, à chaque fois doublés.
2 outils visioconf, audioconf et avoir un outil collaboratif comme OSMOSE que l'on utilise en interministériel.
Chaque administration utilise pendant la crise son outil, sa version, il faut une homogénéité interministériel.
Ainsi que pour nos opérateurs public , il faut qu'ils puissent accéder aux outils interministériels.
Le RIE doit pouvoir supporter ses outils de souveraineté.. on doit exclure whatsapp , skype , zoom , google drive , droopbox etc..
Comme pour la santé nous devons pas dépendre de la Chine ou des USA !",A6JT-ESF8,15/05/2020 10:37:41,,15/05/2020 10:46:49,548.4796832,FR,Terminé,Direct,PC
719,Agriculture et Alimentation,Chef.fe de service (territoriale),,DRAAF/ SREA,Bourgogne-Franche-Comté,Non,"pas d'outil de visio, ni d'audio performant. 
C'est la profession qui m'a prêté les siens pour organiser les cellules de crises (numero audio)
j'ai pris Whtaapps pour réunion à petits éffectifs
JITSI n'a pas fonctionné",La 4ème semaine ou après,2,"​- on fait tous les matins un café en whatapps avec tout le service (2à personnes) : chaque jour il y a une devinette à trouver. 9a maintient les liens
- sinon visios regulières en whataaps en bilatérales ou avec chefs de pôles
- réunion de service en zoom

Besoins :
- avoir un abonnnement zoom, team, bbcolab pour chaque agent pour organiser des réunions
- pouvoir avoir le VPN et accès à la messagerie et réseau en même temps que zoom, team,",Utile,Non utilisé,Non utilisé,Très utile,Non utilisé,Non utilisé,Très utile,Utile,Inconnu,Très utile,Très utile,Oui,"achat d'une licence zoom
j'ai pris celle de mon mari qui a une adresse bbcolab",,Oui,Courriels / Lettre d'information;Web ou audio conférences,,Oui,difficultés pas faciles à résoudre à distance et la personne ne voulait pas se déplacer à la draaf,Oui,3 jours de télétravail et 2 jours en physique,"besoin d'unr formation et de retex sur les pratiques pour créer du lien en télétravail
jeux en lignes en commun, e café, e bonjour tous le smatins ...",KR59-HT2U,15/05/2020 11:04:16,,15/05/2020 11:14:46,629.2519341,FR,Terminé,Direct,PC
720,Agriculture et Alimentation,Directeur.trice (territoriale),,DRAAF PACA,Provence-Alpes-Côte d'Azur,Oui,,La 2ème semaine,4,"Installation des VPN sur les ordinateurs fixes, pour les agents non pourvus d'ordinateurs portables, afin que les agents puissent emmener leurs unités centrales à leur domicile et y travailler dans de bonnes conditions.

Installation de l'outil team viewer (version gratuite) sur tout le parc pour pouvoir faire une assistance utilisateur à distance hors VPN. A notamment servi pour les agents ayant des difficultés à se connecter au VPN.",Très utile,Non utilisé,Non utilisé,Non utilisé,Utile,Pas utile,Très utile,Inconnu,Inconnu,Inconnu,Très utile,Non,,"L'outil webconf n'a pas rendu le service attendu (saturation réseau, mauvaise qualité) et a été largement substitué par zoom. L'outil zoom est devenu la référence, y compris dans cette phase de retour au présentiel.",Oui mais insuffisamment,Courriels / Lettre d'information;Site Web;Web ou audio conférences,,Non,,Je ne sais pas encore,,"Pouvoir continuer à bénéficier de zoom ou d'un outil équivalent.

Passage des applications métier client-serveur en version web 

Le VPN du MAA a très bien tenu la charge. Le réseau des DDPP et DDT a souffert de ne pas bénéficier du même niveau de service.

Le PC portable deviendra probablement la norme pour le renouvellement du parc informatique.",P6JA-BZPB,15/05/2020 10:38:57,,15/05/2020 11:20:11,2474.7268375,FR,Terminé,Direct,PC
721,Agriculture et Alimentation,Autre,Adjoint à la Sous-direction de la gestion des carrières et de la rémunération,Sous-direction de la gestion des carrières et de la rémunération,,Non,"​- Insuffisance radicale de PC portables disponibles, et configurés (VPN, aplications métiers...) pour mise à disposition en masse aux agents pour le télétravail
- Inexistence d'un moyen efficace simple d'audioconférence à plusieurs : tel que la plateforme remarquable de simplicité et de qualité (malheureusement utilisable gratuitement seulement pour quelques appels) dénommée https://www.ovh.conconferences/
- Inexistence d'un moyen efficace simple de visioconférence : les solutions Etat sont inexistantes, ou insuffisamment simples et ergonomiques, ou limitées en nombre de personnes...)",La 3ème semaine,1,"Plusieurs agents, et uniquement des cadres dont les fonctions le permettaient, ont travaillé sur leur PC personnel.",Très utile,Non utilisé,Pas utile,Très utile,Inconnu,Non utilisé,Non utilisé,Inconnu,Inconnu,Très utile,Très utile,Oui,"1) Mon iphone personnel !
--> car mon téléphone pro - un samsung détestable à utiliser -  aurait nécessité que je reconstruise tout mon annuaire et toutes mes habitudes, alors que mon iphone est simple, fluide, j'en ai l'habitude, bref hyper efficace en situation d'urgence où vous n'avez absolument pas de temps à investir dans l'apprentissage d'une téléphone que vous n'aimez pas par ailleurs !! 
Le croisement des mondes pro et perso s'est fait sur mon téléphone perso, et c'est comme ça que je m'en suis sorti surtout dans les 15 jours de crise, à gérer une sous-direction de 160 personnes...

2) Et zoom (malheureusement la seule plateforme simple d'utilisation et efficace). J'ai du prendre nu abonnement personnel sur mes deniers. 

Soit mes deux instruments de travail indispensables en plus de mon pc portable pro, configuré avec VPN t accès à mon réseau à distance (ce dernier est important).",Cf réponses au point A1a,Non,Courriels / Lettre d'information,,Non,,Oui,"Point audio (si on réussit à trouver un outil pertinent pour parler à plusieurs personnes) et visio (même remarque, car mon abonnement personnel à zoom ne devrait pas perdurer pour raison de sécurité).","Profonde déception de voir que dans un pays comme la France, qui a toute les ressources technologiques et humaines, on est obligé de se rabattre en urgence sur des outils américains (type zoom). 
A force de vouloir faire trop compliqué avec trop de règles en tout genre et de dogmes et de précautions etc... , on finit par aboutir au résultats inverse de celui recherché : le risque maximal en termes de SI. 

Par ailleurs, pourquoi l'Etat n'a-t-il pas de plateforme audio simple de type OVH conférences ? Ce serait (l'image en moins, mais bien des réunions ne le nécessitent pas) un énorme levier de productivité au quotidien.",PC9B-CT8Z,15/05/2020 11:52:22,,15/05/2020 12:20:00,1657.0796852,FR,Terminé,Direct,PC
722,Action et compte publics,Sous-directeur.trice (centrale),,direction du budget,,Oui,,Dès la 1ère semaine,4,,Très utile,Non utilisé,Utile,Très utile,Non utilisé,Pas utile,Utile,Non utilisé,Non utilisé,Utile,Très utile,Non,,"Difficulté d'adaptation des agents et des interlocuteurs, qui s'est traduite par une inflation du nombre de mail avant de petiti à petit redécouvrir les vertues du téléphone.",Oui,Courriels / Lettre d'information;Web ou audio conférences,,Non,,Oui,Échanges directs via messageries instantanées ou téléphone,,FAYV-E9DG,15/05/2020 13:35:47,,15/05/2020 13:39:36,228.3549216,FR,Terminé,Direct,PC
723,Economie et Finances,Directeur.trice (centrale),,affaires juridiques,,Pas suffisamment,manque de matériel pour le télétravail. Numéro sfr de conférence téléphonique inutilisable (tjs occupé),Dès la 1ère semaine,4,"utilisation des tiny pour compenser l'absence d'ultra portable
mais cela suppose que les agents aient une box internet chez eux

Utilisation d'un numéro gratuit OVH (et sans doute non sécurisé) pour pouvoir tenir des audio malgré l'indisponibilité du n° sfr",Très utile,Utile,Non utilisé,Très utile,Inconnu,Inconnu,Très utile,Non utilisé,Inconnu,Inconnu,Non utilisé,Non,,"insuffisance d'ultra portables, absence de n° de conf call, absence d'outil de visio",Non,Web ou audio conférences,,Non,,Oui,nous allons avoir une très forte pression des agents pour continuer à travailler en télétravail,"un succès  puisque nous avons pu continuer à exercer nos missions en télétravail

un échec dans la répartition des tâches, le travail reposant beaucoup plus que dans une organisation classique sur   l'encadrement (difficultés à joindre les agents qui n'ont pas tous de mobiles pro , donc prise en charge directe lorsque les questions sont urgentes)

Il y aura une demande massive de agents de poursuite de l'activité en télétravail, ce qui suppose de repenser l'organisation actuelle qui ne peut pas tenir dans la durée.",PK6A-R9VQ,15/05/2020 13:30:49,,15/05/2020 13:47:51,1021.6163166,FR,Terminé,Direct,PC
724,Interieur,Chef.fe de mission / département / bureau (centrale),,direction centrale de la sécurité publique,,Pas suffisamment,"Insuffisance des moyens techniques.
Incapacité des réseaux à encaisser la charge de télétravail.
Inadaptation du SPAN au télétravail bureautique. 
Manque de dispositifs de visioconférence adaptés au RIE",Dès la 1ère semaine,2,"Réorganisation des horaires
Utilisation accrue de la téléphonie",Très utile,Utile,Utile,Utile,Utile,Non utilisé,Non utilisé,Non utilisé,Inconnu,Non utilisé,Utile,Non,,"Insuffisance des réseaux. 
Complexité du dispositif SPAN.",Oui mais insuffisamment,Courriels / Lettre d'information;Réseau social,,Oui,"Manque de formation et recrutements inadaptés liés à une alphabétisation numérique""",Je ne sais pas encore,,Y'a du boulot!,E8S3-JF5Y,15/05/2020 15:38:18,,15/05/2020 15:43:30,312.4877734,FR,Terminé,Direct,PC
725,Action et compte publics,Chef.fe de service (centrale),,Médiateur des ministères économiques et financiers,,Oui,,Jamais,4,"Dans le premier temps de confinement, le PCA étant inadapté, le télétravail s'est fait en partie avec des outils adaptés (portables avec TOTEM) et en partie avec les outils personnels des agents.
Dans un deuxième temps j'ai décidé de rendre nomades les ordinateurs fixes des agents pouvant télétravailler pour ceux qui n'étaient pas encore équipés (solution relativement rapide à mettre en œuvre), cette phase est en cours de finalisation complète.
la mise en place de conférences téléphoniques est hebdomadaire (SFR). En revanche les outils de visio-conférence font défaut.",Très utile,Très utile,Non utilisé,Non utilisé,Inconnu,Inconnu,Non utilisé,Non utilisé,Inconnu,Non utilisé,Très utile,Oui,"Mon service étant un service central j'ai pris l'avis et l'aide fournie par les services informatiques des MEF, qui ont été très réactifs, pour fournir certains ordinateurs portables et pour le conseil en vue de ""nomadiser"" les fixes. 
Activé par le dispositif d'assistance.","Les messageries professionnelles sous ""MELISSA"" ont été difficile à activer du fait des mots de passe nécessaires
Le principal problème était l'organisation informatique basée sur des ordinateurs fixes non équipés pour le télétravail par principe, sauf pour le management du service équipé de portables.
Le problème le plus difficile est l'accès à notre applicatif métier qui est propre à la Médiation et qui nécessite un accès sécurisé. Tous les agents n'ayant pas accès direct pendant la première phase de confinement les travaux ont été fortement ralentis du fait de la nécessité de transmettre par messagerie des documents aux conseillers du Médiateur. Sujet qui n'a pu être résolu que par la nomadisation des fixes.",Oui mais insuffisamment,Courriels / Lettre d'information,,Non,,Je ne sais pas encore,,"1)La mise au travail en télétravail des agents nécessite une forte implication managériale et cela a très bien fonctionné avec une bonne mobilisation des équipes. L'amélioration de l'équipement par la ""nomadisation"" des ordinateurs fixes a été bien ressentie.
2)L'équipe a pu faire face en répondant à la totalité des intervenants et en traitant un niveau d'environ 50% de la production de médiations par rapport à un rythme normal, compte tenu de notre dépendance des autres administrations dont nous avons besoin des rapports en réponse à nos questions.
3)Cette période m'a conduit à revoir totalement le PCA pour l'avenir et j'envisage des modifications fortes des outils informatiques pour les cadres en vue d'autres crises. 
4)Les outils de conférence téléphonique ont été dans l'ensemble efficaces. Les visioconférences ont été inexistantes et il nous a été interdit de recourir à celles du web (type zoom…). Ces dispositifs ne sont pas à la mesure de ce que les organisations privées font dans le même temps.",3768-HQK2,15/05/2020 15:18:31,,15/05/2020 15:47:34,1743.378652,FR,Terminé,Direct,PC
726,Economie et Finances,Chef.fe de mission / département / bureau (centrale),,Conseil général de l'économie (CGE),,Pas suffisamment,"Le manque de matériel disponible, et notamment d'ultraportables.
Pour certains agents, temps nécessaire pour collecter leurs coordonnées personnelles",La 2ème semaine,3,"​- Organisation d'audioconférences hebdomadaires pour diffuser l'information et maintenir le lien
- Rédaction et mise à disposition auprès des collaborateurs d'un guide des systèmes d'information en télétravail le plus opérationnel possible
- Mise en place d'un groupe WhatsApp",Très utile,Non utilisé,Utile,Très utile,Utile,Utile,Non utilisé,Non utilisé,Non utilisé,Non utilisé,Très utile,Non,,"Pas assez d'outils disponibles pour équiper les collaborateurs en matériel professionnel. 
Une période d'acclimatation nécessaire pour les personnes non habituées à télétravailler
Pour certains, un décalage dans le temps de l'exercice de l'activité professionnelle qui n'est pas effectuée aux horaires habituels soit en continu même très tard le soir, ou très tôt le matin.",Oui mais insuffisamment,Courriels / Lettre d'information;Réseau social;Web ou audio conférences;Autre,WhatsApp,Oui,"Le télétravail n'est pas apprécié par tous les collaborateurs. La nécessité de faire une coupure par un déplacement ou par un changement de lieu est nécessaire pour certains afin d'être efficace. Savoir gérer son temps en restant chez soi n'est pas une compétence innée. Sentiment pour certains qu'être dans son bureau, c'est déjà travailler !",Oui,"Systématiser davantage encore le partage d'information au sein des équipes dans la plus grande transversalité possible
Favoriser la polyvalence",,2R8L-GDU4,15/05/2020 16:05:46,,15/05/2020 16:19:58,852.6791359,FR,Terminé,Direct,PC
727,Agriculture et Alimentation,Sous-directeur.trice (centrale),,Direction générale de l'alimentation,,Oui,,Dès la 1ère semaine,2,"​- organisation fréquente de réunions, de points bilatéraux et de feuille de route par bureaux voire par agents.",Utile,Non utilisé,Non utilisé,Utile,Utile,Inconnu,Non utilisé,Inconnu,Inconnu,Inconnu,Utile,Oui,"Licence ZOOM
Application TEAMS","​- partage des mêmes outils. Trop de solutions proposées et pas d'homogénéité entre acteurs publics ou entre acteurs publics et opérateurs privés.
- saturation des solutions de téléconférence ou de visioconférence.
- nécessité de se rabattre sur des solutions privées mais potentiellement non sécurisées (ZOOM par ex).",Oui,Courriels / Lettre d'information;Réseau social;Web ou audio conférences,,Non,,Oui,"​- visio conférence avec les opérateurs sur des sites distants
- poursuite du télétravail au sein des équipes, mais à condition de disposer d'outils performants.","La perception est la suivante :

- la crise covid va durablement transformer nos modes de travail ;
- il est nécessaire de poursuivre la dématérialisation des formes de travail : réunion, parapheurs électroniques, outils collaboratifs, workflow pour installer une conduite du changement réussie vers le télétravail ;
- il est impératif à cet égard de disposer d'outils adaptés et performants avec un accompagnement systématique pour la prise en main de tous.",REZ3-XBBL,15/05/2020 18:21:17,,15/05/2020 18:30:33,555.4816004,FR,Terminé,Direct,PC
728,Agriculture et Alimentation,Chef.fe de service (centrale),,Service de la modernisation,,Oui,,Dès la 1ère semaine,5,"* Point quotidien au sein de chaque structure en audio ou visio
*",Très utile,Non utilisé,Utile,Non utilisé,Utile,Non utilisé,Très utile,Pas utile,Non utilisé,Non utilisé,Très utile,Non,,Pas de difficulté particulière.,Oui,Courriels / Lettre d'information;Web ou audio conférences,,Non,,Je ne sais pas encore,,"Ils nous ont permis de continuer à travailler, en maintenant nos activités et en assurant nos missions.

Une petite inquiétude toutefois sur la sécurité informatique : l'absence d'outils ministériels ou interministériels tenant la route a pu amener les utilisateurs à se tourner vers des outils du marché, souvent ""gratuits"", mais aux conditions de sûreté incertaines (en particulier pour la visioconférence).",B6ZM-K9G9,15/05/2020 19:21:50,,15/05/2020 19:34:02,732.865029,FR,Terminé,Direct,PC
729,Travail,Directeur.trice (centrale),,DICOM,,Oui,,Dès la 1ère semaine,4,,Très utile,Non utilisé,Pas utile,Très utile,Utile,Non utilisé,Utile,Utile,Inconnu,Non utilisé,Très utile,Oui,,,Oui mais insuffisamment,Courriels / Lettre d'information;Web ou audio conférences,,Non,,Je ne sais pas encore,,,Y6S2-LE2Q,15/05/2020 21:40:21,,15/05/2020 21:46:31,369.4592693,FR,Terminé,Direct,Smartphone
730,Economie et Finances,Chef.fe de service (centrale),,Insee,Île-de-France,Oui,,Dès la 1ère semaine,5,,Pas utile,Très utile,Utile,Très utile,Pas utile,Pas utile,Très utile,Pas utile,Non utilisé,Utile,Pas utile,Non,,,Oui mais insuffisamment,Courriels / Lettre d'information;Enquête en ligne;Site Web;Web ou audio conférences,,Pas encore,,Oui,,,TZ3F-EJ7H,15/05/2020 21:46:52,,15/05/2020 21:49:51,179.2815652,FR,Terminé,Direct,Smartphone
731,Solidarité et Santé,Chef.fe de service (centrale),,DNUM,,Oui,,Dès la 1ère semaine,4,"Réunions en visio ou audio conférence très régulières avec les équipes. 
CODIR réuni tous les jours les trois premières semaines du confinement.",Très utile,Pas utile,Utile,Utile,Non utilisé,Très utile,Très utile,Utile,Utile,Non utilisé,Très utile,Non,,instabilité de la connexion à distance par moment.,Oui,Courriels / Lettre d'information,,Non,,Oui,Télétravail,Meilleure appréhension des appuis apportés par le numérique,NHH5-FPG3,15/05/2020 21:53:43,,15/05/2020 22:01:25,461.8701075,FR,Terminé,Direct,PC
732,Solidarité et Santé,Sous-directeur.trice (centrale),,,,Pas suffisamment,"Toujours pas d'outils de visio conférence, obligée de ""bricoler"" avec les moyens gratuits sur le marché",La 2ème semaine,4,,Très utile,Utile,Non utilisé,Très utile,Inconnu,Inconnu,Utile,Non utilisé,Non utilisé,Non utilisé,Très utile,Non,,"Pas d'outils de visio-conférence institutionnel
Les agents en télétravail m'ont fait part de plusieurs jours de difficulté pour accéder au réseau du ministère",Oui mais insuffisamment,Courriels / Lettre d'information;Web ou audio conférences,,Oui,,Oui,Développement du télétravail même parmi les chefs de bureau,"Pas d'information sur les outils numériques à disposition (ex visio conférence), pas d'accompagnement à la mise en place dans une période de crise où pas le temps de me former par moi même",N48W-5Z42,16/05/2020 10:28:54,,16/05/2020 10:36:38,463.4043205,FR,Terminé,Direct,PC
733,Economie et Finances,Sous-directeur.trice (centrale),,DGE,,Pas suffisamment,pas de support consolidé me permettant d'identifier les outils et leur mode opératoire - pas de conseil - difficulté à trouver u point téléphonique (services saturés)… aucune solution de visio opérationnelle encore à cette heure - fonctionnement exclusif en audio avec tout l'inconfort généré.,La 3ème semaine,3,"maintien des réunions de pilotage transversales avec l'inconfort des audio-conférences. 
déploiement de PC portables équipés VPN + postes fixes dans un second temps
élaboration puis diffusion d'un guide sur les outils collaboratifs
relai de consignes sur le télétravail",Très utile,Non utilisé,Non utilisé,Pas utile,Inconnu,Inconnu,Non utilisé,Utile,Non utilisé,Inconnu,Très utile,Non,,caractère inopérant des visioconférences,Oui mais insuffisamment,Courriels / Lettre d'information;Site Web;Web ou audio conférences,,Pas encore,,Je ne sais pas encore,,,JLSN-LK3L,16/05/2020 10:55:07,,16/05/2020 11:01:07,359.866462,FR,Terminé,Direct,PC
